# Picos de Europa peaks without images (after migration 0044).
# All are minor towers/agujas on the Urrieles/Cornión ridges with no
# dedicated Wikipedia page or Commons category of their own.
# Format: <slug>	<name>

torre-de-las-minas-del-carbon	Torre de las Minas del Carbón
torre-de-coello	Torre de Coello
los-campanarios-ii	Los Campanarios II
los-campanarios-i	Los Campanarios I
los-campanarios-iii	Los Campanarios III
los-campanarios-iv	Los Campanarios IV
torre-de-labrouche	Torre de Labrouche
pico-de-boada	Pico de Boada
torre-de-las-coteras-rojas	Torre de las Coteras Rojas
torre-de-delgado-ubeda	Torre de Delgado Úbeda
torre-diego-mella	Torre Diego Mella
torre-del-oso	Torre del Oso
aguja-jose-de-prado	Aguja José de Prado
torre-de-la-celada	Torre de la Celada
torre-de-la-horcada	Torre de la Horcada
torre-del-torco	Torre del Torco
torre-de-las-colladetas	Torre de las Colladetas
tiros-de-santiago	Tiros de Santiago
torre-de-cebolleda-iii	Torre de Cebolleda III
neveron-del-albo	Neverón del Albo
pico-del-albo	Pico del Albo
aguja-alpino	Aguja Alpino
aguja-de-juan-menendez	Aguja de Juan Menéndez
aguja-cimadevilla	Aguja Cimadevilla
aguja-jovellanos	Aguja Jovellanos
torre-del-carnizoso	Torre del Carnizoso
torre-de-las-tres-marias-i	Torre de las Tres Marías I
torre-de-cebolleda-ii	Torre de Cebolleda II
torres-areneras	Torres Areneras
torre-de-las-tres-marias-ii	Torre de las Tres Marías II
porro-del-torco	Porro del Torco
cuchalon-de-villasobrada	Cuchalón de Villasobrada
cueto-albo	Cueto Albo
